property,date,season,recommended_price,currency
Tulum Studio,2026-01-01,high,1260.0,MXN
Tulum Studio,2026-01-02,high,1449.0,MXN
Tulum Studio,2026-01-03,high,1449.0,MXN
Tulum Studio,2026-01-04,high,1449.0,MXN
Tulum Studio,2026-01-05,high,1260.0,MXN
Tulum Studio,2026-01-06,high,1260.0,MXN
Tulum Studio,2026-01-07,high,1260.0,MXN
Tulum Studio,2026-01-08,high,1260.0,MXN
Tulum Studio,2026-01-09,high,1449.0,MXN
Tulum Studio,2026-01-10,high,1449.0,MXN
Tulum Studio,2026-01-11,high,1449.0,MXN
Tulum Studio,2026-01-12,high,1260.0,MXN
Tulum Studio,2026-01-13,high,1260.0,MXN
Tulum Studio,2026-01-14,high,1260.0,MXN
Tulum Studio,2026-01-15,high,1260.0,MXN
Tulum Studio,2026-01-16,high,1449.0,MXN
Tulum Studio,2026-01-17,high,1449.0,MXN
Tulum Studio,2026-01-18,high,1449.0,MXN
Tulum Studio,2026-01-19,high,1260.0,MXN
Tulum Studio,2026-01-20,high,1260.0,MXN
Tulum Studio,2026-01-21,high,1260.0,MXN
Tulum Studio,2026-01-22,high,1260.0,MXN
Tulum Studio,2026-01-23,high,1449.0,MXN
Tulum Studio,2026-01-24,high,1449.0,MXN
Tulum Studio,2026-01-25,high,1449.0,MXN
Tulum Studio,2026-01-26,high,1260.0,MXN
Tulum Studio,2026-01-27,high,1260.0,MXN
Tulum Studio,2026-01-28,high,1260.0,MXN
Tulum Studio,2026-01-29,high,1260.0,MXN
Tulum Studio,2026-01-30,high,1449.0,MXN
Tulum Studio,2026-01-31,high,1449.0,MXN
Tulum Studio,2026-02-01,high,1449.0,MXN
Tulum Studio,2026-02-02,high,1260.0,MXN
Tulum Studio,2026-02-03,high,1260.0,MXN
Tulum Studio,2026-02-04,high,1260.0,MXN
Tulum Studio,2026-02-05,high,1260.0,MXN
Tulum Studio,2026-02-06,high,1449.0,MXN
Tulum Studio,2026-02-07,high,1449.0,MXN
Tulum Studio,2026-02-08,high,1449.0,MXN
Tulum Studio,2026-02-09,high,1260.0,MXN
Tulum Studio,2026-02-10,high,1260.0,MXN
Tulum Studio,2026-02-11,high,1260.0,MXN
Tulum Studio,2026-02-12,high,1260.0,MXN
Tulum Studio,2026-02-13,high,1449.0,MXN
Tulum Studio,2026-02-14,high,1449.0,MXN
Tulum Studio,2026-02-15,high,1449.0,MXN
Tulum Studio,2026-02-16,high,1260.0,MXN
Tulum Studio,2026-02-17,high,1260.0,MXN
Tulum Studio,2026-02-18,high,1260.0,MXN
Tulum Studio,2026-02-19,high,1260.0,MXN
Tulum Studio,2026-02-20,high,1449.0,MXN
Tulum Studio,2026-02-21,high,1449.0,MXN
Tulum Studio,2026-02-22,high,1449.0,MXN
Tulum Studio,2026-02-23,high,1260.0,MXN
Tulum Studio,2026-02-24,high,1260.0,MXN
Tulum Studio,2026-02-25,high,1260.0,MXN
Tulum Studio,2026-02-26,high,1260.0,MXN
Tulum Studio,2026-02-27,high,1449.0,MXN
