property,date,season,recommended_price,currency,lead_days,lead_factor,final_price
Tulum Studio,2026-02-17,high,1260.0,MXN,0,0.85,1071.0
Tulum Studio,2026-02-18,high,1260.0,MXN,1,0.85,1071.0
Tulum Studio,2026-02-19,high,1260.0,MXN,2,0.85,1071.0
Tulum Studio,2026-02-20,high,1449.0,MXN,3,0.85,1231.65
Tulum Studio,2026-02-21,high,1449.0,MXN,4,0.85,1231.65
Tulum Studio,2026-02-22,high,1449.0,MXN,5,0.85,1231.65
Tulum Studio,2026-02-23,high,1260.0,MXN,6,0.85,1071.0
Tulum Studio,2026-02-24,high,1260.0,MXN,7,0.85,1071.0
Tulum Studio,2026-02-25,high,1260.0,MXN,8,1.1,1386.0
Tulum Studio,2026-02-26,high,1260.0,MXN,9,1.1,1386.0
Tulum Studio,2026-02-27,high,1449.0,MXN,10,1.1,1593.9
Tulum Studio,2026-02-28,high,1449.0,MXN,11,1.1,1593.9
Tulum Studio,2026-03-01,high,1449.0,MXN,12,1.1,1593.9
Tulum Studio,2026-03-02,high,1260.0,MXN,13,1.1,1386.0
Tulum Studio,2026-03-03,high,1260.0,MXN,14,1.1,1386.0
Tulum Studio,2026-03-04,high,1260.0,MXN,15,1.1,1386.0
Tulum Studio,2026-03-05,high,1260.0,MXN,16,1.1,1386.0
Tulum Studio,2026-03-06,high,1449.0,MXN,17,1.1,1593.9
Tulum Studio,2026-03-07,high,1449.0,MXN,18,1.1,1593.9
Tulum Studio,2026-03-08,high,1449.0,MXN,19,1.1,1593.9
Tulum Studio,2026-03-09,high,1260.0,MXN,20,1.1,1386.0
Tulum Studio,2026-03-10,high,1260.0,MXN,21,1.1,1386.0
Tulum Studio,2026-03-11,high,1260.0,MXN,22,1.1,1386.0
Tulum Studio,2026-03-12,high,1260.0,MXN,23,1.1,1386.0
Tulum Studio,2026-03-13,high,1449.0,MXN,24,1.1,1593.9
Tulum Studio,2026-03-14,high,1449.0,MXN,25,1.1,1593.9
Tulum Studio,2026-03-15,high,1449.0,MXN,26,1.1,1593.9
Tulum Studio,2026-03-16,high,1260.0,MXN,27,1.1,1386.0
