property,date,season,optimal_price,expected_occupancy,expected_revenue,currency
Tulum Studio,2026-02-17,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-02-18,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-02-19,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-02-20,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-02-21,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-02-22,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-02-23,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-02-24,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-02-25,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-02-26,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-02-27,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-02-28,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-01,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-02,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-03,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-04,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-05,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-06,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-07,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-08,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-09,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-10,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-11,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-12,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-13,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-14,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-15,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-16,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-17,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-18,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-19,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-20,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-21,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-22,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-23,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-24,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-25,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-26,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-27,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-28,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-29,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-03-30,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-03-31,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-01,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-02,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-03,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-04-04,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-04-05,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-04-06,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-07,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-08,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-09,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-10,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-04-11,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-04-12,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-04-13,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-14,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-15,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-16,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-17,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-04-18,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-04-19,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-04-20,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-21,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-22,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-23,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-24,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-04-25,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-04-26,high,1557.68,0.84,1308.45,MXN
Tulum Studio,2026-04-27,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-28,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-29,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-04-30,high,1260.0,0.8,1008.0,MXN
Tulum Studio,2026-05-01,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-02,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-03,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-04,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-05,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-06,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-07,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-08,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-09,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-10,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-11,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-12,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-13,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-14,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-15,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-16,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-17,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-18,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-19,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-20,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-21,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-22,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-23,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-24,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-25,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-26,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-27,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-28,low,592.88,0.63,373.51,MXN
Tulum Studio,2026-05-29,low,747.79,0.67,501.02,MXN
Tulum Studio,2026-05-30,low,747.79,0.67,501.02,MXN
